,transcription,text,label
854,какие документы нужны для открытия индивидуального пенсионного плана или app,какие документы нужны для открытия индивидуального пенсионного плана или ,1
855,кто может открыть ипп,кто может открыть индивидуальныйпенсионный план,1
856,в какой госструктуре можно узнать о том как открыть индивидуальный пенсионный план,в какой госструктуре можно узнать о том как открыть индивидуальный пенсионный план,1
857,как я могу открыть индивидуальный пенсионный план,как я могу открыть индивидуальный пенсионный план,1
858,как открыть индивидуальный инвестиционный план,как открыть индивидуальный инвестиционный план,0
859,можно ли снять деньги с индивидуального пенсионного плана,можно ли снять деньги с индивидуального пенсионного плана,1
860,способ расчета индивидуального пенсионного плана,способ расчета индивидуального пенсионного плана,1
861,какие документы нужны чтобы открыть ипп,какие документы нужны чтобы открыть индивидуальныйпенсионный план,1
862,индивидуальный плетеный план как можно его открыть,индивидуальный плетеный план как можно его открыть,0
863,что вы знаете о преимуществах индивидуально пенсионного плана,что вы знаете о преимуществах индивидуально пенсионного плана,1
864,что необходимо чтобы оформить индивидуальный пенсионный план,что необходимо чтобы оформить индивидуальный пенсионный план,1
865,каким способом можно открыть индивидуальный пенсионный план,каким способом можно открыть индивидуальный пенсионный план,1
866,где я могу открыть индивидуальный пенсионный план,где я могу открыть индивидуальный пенсионный план,1
867,привет открой лучший сайт который знает как открыть индивидуальный пенсионный план,привет открой лучший сайт который знает как открыть индивидуальный пенсионный план,1
868,какие нужны документы для открытия индивидуального пенсионного плана,какие нужны документы для открытия индивидуального пенсионного плана,1
869,где лучше открыть индивидуальный пенсионный план,где лучше открыть индивидуальный пенсионный план,1
870,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
871,открыть индивидуальный пенсионный план,открыть индивидуальный пенсионный план,1
872,чтобы открывать индивидуальную пенсионную плановом банке,чтобы открывать индивидуальную пенсионную плановом банке,1
873,необходима информация,необходима информация,0
874,как я могу открыть свой индивидуальный пенсионный план,как я могу открыть свой индивидуальный пенсионный план,1
875,алиса в каком банке,алиса в каком банке,0
876,подскажите как открыть индивидуальный пенсионный план,подскажите как открыть индивидуальный пенсионный план,1
877,как лучше всего открыть индивидуальный пенсионный план,как лучше всего открыть индивидуальный пенсионный план,1
878,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
879,какие условия я должна выполнить,какие условия я должна выполнить,0
880,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
881,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
882,салют я хотела бы открыть индивидуальный пенсионный план,салют я хотела бы открыть индивидуальный пенсионный план,1
883,здравствуйте у меня такой вопрос,здравствуйте у меня такой вопрос,0
884,что нужно чтобы открыть индивидуальный пенсионный план,что нужно чтобы открыть индивидуальный пенсионный план,1
885,что нужно для открытия индивидуального пенсионного плана,что нужно для открытия индивидуального пенсионного плана,1
886,при каких условиях можно открыть индивидуальный пенсионный план,при каких условиях можно открыть индивидуальный пенсионный план,1
887,как я могу открыть ипп,как я могу открыть индивидуальныйпенсионный план,1
888,чтобы открыть индивидуальный пенсионный план можно ли приходить в пенсионный фонд,чтобы открыть индивидуальный пенсионный план можно ли приходить в пенсионный фонд,1
889,расскажи как открыть индивидуальный пенсионный план,расскажи как открыть индивидуальный пенсионный план,1
890,что нужно для того чтобы открыть индивидуальный пенсионный план,что нужно для того чтобы открыть индивидуальный пенсионный план,1
891,где можно открыть индивидуальный пенсионный план,где можно открыть индивидуальный пенсионный план,1
892,что нужно для того чтобы открыть индивидуальный пенсионный план,что нужно для того чтобы открыть индивидуальный пенсионный план,1
893,что мне нужно чтобы открыть индивидуальный пенсионный план,что мне нужно чтобы открыть индивидуальный пенсионный план,1
894,в сбербанке можно открыть индивидуальный пенсионный план,в сбербанке можно открыть индивидуальный пенсионный план,1
895,какая выгода будет при открытии индивидуально пенсионного плана,какая выгода будет при открытии индивидуально пенсионного плана,1
896,какой пенсионный фонд лучше выбрать для открытия индивидуального пенсионного плана,какой пенсионный фонд лучше выбрать для открытия индивидуального пенсионного плана,1
897,алиса как самостоятельно можно открыть индивидуальный пенсионный план,алиса как самостоятельно можно открыть индивидуальный пенсионный план,1
898,какой минимальный период накопления при индивидуальном пенсионном пла,какой минимальный период накопления при индивидуальном пенсионном пла,0
899,алиса можно и через сайт госуслуг открыть индивидуальный пенсионный план,алиса можно и через сайт госуслуг открыть индивидуальный пенсионный план,1
900,хотел открыть по интернету индивидуальный пенсионный план можно ли так сделать,хотел открыть по интернету индивидуальный пенсионный план можно ли так сделать,1
901,сможешь мне рассказать что мне необходимо для того чтобы открыть ипп,сможешь мне рассказать что мне необходимо для того чтобы открыть индивидуальныйпенсионный план,1
902,мне необходимо открыть свой индивидуальный пенсионный план как это сделать,мне необходимо открыть свой индивидуальный пенсионный план как это сделать,1
903,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
904,индивидуальный пенсионный план способы его открыть,индивидуальный пенсионный план способы его открыть,1
905,какие документы нужны для открытия индивидуального пенсионного плана,какие документы нужны для открытия индивидуального пенсионного плана,1
906,я бы хотел узнать как я могу открыть индивидуальный пенсионный план,я бы хотел узнать как я могу открыть индивидуальный пенсионный план,1
907,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
908,как рассчитать первоначальный взнос при индивидуальном пенсионном плане,как рассчитать первоначальный взнос при индивидуальном пенсионном плане,1
909,что нужно для открытия индивидуального пенсионного плана,что нужно для открытия индивидуального пенсионного плана,1
910,сроки открытия индивидуального пенсионного плана в днях,сроки открытия индивидуального пенсионного плана в днях,1
911,скажите сотрудники банка втб могут мне помочь открыть индивидуальный пенсионный план,скажите сотрудники банка втб могут мне помочь открыть индивидуальный пенсионный план,1
912,хочу задать свой индивидуальный пенсионный план,хочу задать свой индивидуальный пенсионный план,1
913,можно ли как то удаленно открыть индивидуальный пенсионный план,можно ли как то удаленно открыть индивидуальный пенсионный план,1
914,можно ли удаленно открыть индивидуальный пенсионный план,можно ли удаленно открыть индивидуальный пенсионный план,1
915,как быстро открыть индивидуальный пенсионный план,как быстро открыть индивидуальный пенсионный план,1
916,что такое снег,что такое снег,0
917,здравствуйте у меня такой вопрос я хотел узнать о том как миндальном пенсионный план,здравствуйте у меня такой вопрос я хотел узнать о том как миндальном пенсионный план,1
918,здравствуйте у меня такой вопрос вы можете мне кратко и доходчиво объяснять о том что,здравствуйте у меня такой вопрос вы можете мне кратко и доходчиво объяснять о том что,0
919,апп как открыть его,апп как открыть его,0
920,я бы хотела воспользоваться программой индивидуального пенсионного плана как мне это сделать,я бы хотела воспользоваться программой индивидуального пенсионного плана как мне это сделать,1
921,какие документы нужны для того чтобы открыть индидуальный пенсионный план,какие документы нужны для того чтобы открыть индидуальный пенсионный план,1
922,алиса хочу открыть индивидуальный пенсионный план как это сделать,алиса хочу открыть индивидуальный пенсионный план как это сделать,1
923,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
924,как правильно открыть индивидуальный пенсионный план,как правильно открыть индивидуальный пенсионный план,1
925,как рассчитать свою будущую пенсию,как рассчитать свою будущую пенсию,0
926,индивидуальный пенсионный план как его открыть,индивидуальный пенсионный план как его открыть,1
927,что нужно для открытия индивидуального пенсионного плана,что нужно для открытия индивидуального пенсионного плана,1
928,подскажи как открыть индивидуальный пенсионный план,подскажи как открыть индивидуальный пенсионный план,1
929,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
930,нужно ли при открытии индивидуального пенсионного плана вносить какую то сумму,нужно ли при открытии индивидуального пенсионного плана вносить какую то сумму,1
931,как часто люди пользуются и открывает индивидуальный пенсионный план,как часто люди пользуются и открывает индивидуальный пенсионный план,1
932,можно ли открыть инвестиционные индивидуальный пенсионный план онлайн,можно ли открыть инвестиционные индивидуальный пенсионный план онлайн,1
933,ипп как открыть,индивидуальныйпенсионный план как открыть,1
934,где купить мужские носки,где купить мужские носки,0
935,на каком сайте я могу быстро открыть индивидуальный пенсионный план,на каком сайте я могу быстро открыть индивидуальный пенсионный план,1
936,помоги мне открыть индивидуальный пенсионный план,помоги мне открыть индивидуальный пенсионный план,1
937,долго ли открывать индивидуальный пенсионный план,долго ли открывать индивидуальный пенсионный план,1
938,выдается мне либо какой то договоритесь индивидуального пенсионного плана,выдается мне либо какой то договоритесь индивидуального пенсионного плана,1
939,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
940,выгодно ли открыть индивидуальный пенсионный план,выгодно ли открыть индивидуальный пенсионный план,1
941,какая доходность,какая доходность,0
942,как я могу открыть индивидуальный пенсионный план,как я могу открыть индивидуальный пенсионный план,1
943,где я могу открыть индивидуальный пенсионный план,где я могу открыть индивидуальный пенсионный план,1
944,чем мне может быть полезен индивидуальный пенсионный план,чем мне может быть полезен индивидуальный пенсионный план,1
945,алиса как открыть индивидуальный пенсионный план помоги пожалуйста,алиса как открыть индивидуальный пенсионный план помоги пожалуйста,1
946,где открыть и как,где открыть и как,0
947,куда обратиться для открытия индивидуального пенсионного плана,куда обратиться для открытия индивидуального пенсионного плана,1
948,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
949,где можно посмотреть сколько у меня уже накопилось денег,где можно посмотреть сколько у меня уже накопилось денег,0
950,алиса подскажи пожалуйста хочу открыть индивидуальный пенсионный план что для этого нужно,алиса подскажи пожалуйста хочу открыть индивидуальный пенсионный план что для этого нужно,1
951,как рассчитать индивидуальный пенсионный план,как рассчитать индивидуальный пенсионный план,1
952,каким образом можно открыть индивидуальный пенсионный план,каким образом можно открыть индивидуальный пенсионный план,1
953,какие необходимы документы чтобы открыть индивидуальный пенсионный план,какие необходимы документы чтобы открыть индивидуальный пенсионный план,1
954,сколько денег нужно чтобы открыть индивидуальный пенсионный план,сколько денег нужно чтобы открыть индивидуальный пенсионный план,1
955,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
956,какая периодичность оплаты дополнительных взносов при индивидуальном пенсионном плане,какая периодичность оплаты дополнительных взносов при индивидуальном пенсионном плане,1
957,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
958,какие документы нужны для оформления ипп,какие документы нужны для оформления индивидуальныйпенсионный план,1
959,как открыть индивидуальный пенсионный план быстро онлайн,как открыть индивидуальный пенсионный план быстро онлайн,1
960,привет как открыть индивидуальный пенсионный план,привет как открыть индивидуальный пенсионный план,1
961,преимущество индивидуального пенсионного плана,преимущество индивидуального пенсионного плана,1
962,открытие индивидуального пенсионного плана,открытие индивидуального пенсионного плана,1
963,после того как я соберу необходимые документы куда я должен обратиться чтобы оформить индивидуальный пенсионный план,после того как я соберу необходимые документы куда я должен обратиться чтобы оформить индивидуальный пенсионный план,1
964,если сбербанк закроется обанкротится что будет с моими деньгами,если сбербанк закроется обанкротится что будет с моими деньгами,0
965,какие организации занимаются открытием индивидуального пенсионного плана,какие организации занимаются открытием индивидуального пенсионного плана,1
966,что такое индивидуальный пенсионный план,что такое индивидуальный пенсионный план,1
967,хочу узнать о том как открыть индивидуальный пенсионный план,хочу узнать о том как открыть индивидуальный пенсионный план,1
968,со скольки лет гражданин российской федерации имеет право открыть индивидуальный пенсионный план,со скольки лет гражданин российской федерации имеет право открыть индивидуальный пенсионный план,1
969,покажи адрес ближайшей аптеки,покажи адрес ближайшей аптеки,0
970,помоги мне с открытием минимального пенсионного плана,помоги мне с открытием минимального пенсионного плана,1
971,привет расскажи мне подробно о том что нужно сделать чтобы открыть индивидуальный пенсионный план,привет расскажи мне подробно о том что нужно сделать чтобы открыть индивидуальный пенсионный план,1
972,что мне нужно сделать чтобы открыть индивидуальный пенсионный план,что мне нужно сделать чтобы открыть индивидуальный пенсионный план,1
973,выгодно ли открывать ипп,выгодно ли открывать индивидуальныйпенсионный план,1
974,какие есть способы открытия индивидуального пенсионного плана,какие есть способы открытия индивидуального пенсионного плана,1
975,стоит ли открывать индивидуальный пенсионный план отзывы рекомендации,стоит ли открывать индивидуальный пенсионный план отзывы рекомендации,1
976,здравствуй что нужно чтобы открыть индивидуальный пенсионный план,здравствуй что нужно чтобы открыть индивидуальный пенсионный план,1
977,индивидуальный пенсионный план как открыть хочу об этом все узнать,индивидуальный пенсионный план как открыть хочу об этом все узнать,1
978,как когда и где я могу открыть индивидуальный пенсионный план,как когда и где я могу открыть индивидуальный пенсионный план,1
979,хочу открыть индивидуальный пенсионный план,хочу открыть индивидуальный пенсионный план,1
980,что такое индивидуальный пенсионный план,что такое индивидуальный пенсионный план,1
981,здравствуйте скажите пожалуйста как открыть индивидуальный пенсионный план,здравствуйте скажите пожалуйста как открыть индивидуальный пенсионный план,1
982,откройте мне индивидуальный пенсионный план,откройте мне индивидуальный пенсионный план,1
983,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
984,скажи пожалуйста как мне открыть индивидуальный пенсионный план,скажи пожалуйста как мне открыть индивидуальный пенсионный план,1
985,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
986,сколько городов в россии,сколько городов в россии,0
987,сколько людей на планете земля,сколько людей на планете земля,0
988,хочу открыть свой индивидуальный пенсионный план,хочу открыть свой индивидуальный пенсионный план,1
989,сири открой пароли,сири открой пароли,0
990,расскажи как открыть индивидуальный пенсионный план,расскажи как открыть индивидуальный пенсионный план,1
991,какие условия открытия индивидуального пенсионного плана,какие условия открытия индивидуального пенсионного плана,1
992,какие есть особенности при открытии индивидуального пенсионного плана на что обратить внимание,какие есть особенности при открытии индивидуального пенсионного плана на что обратить внимание,1
993,документы необходимые для открытия индивидуального пенсионного плана,документы необходимые для открытия индивидуального пенсионного плана,1
994,какие документы необходимы для этого,какие документы необходимы для этого,0
995,площадь российской федерации,площадь российской федерации,0
996,кто занимается открытием индивидуального пенсионного плана,кто занимается открытием индивидуального пенсионного плана,1
997,какие преимущества индивидуального пенсионного плана,какие преимущества индивидуального пенсионного плана,1
998,что необходимо сделать для открытия индивидуального пенсионного плана,что необходимо сделать для открытия индивидуального пенсионного плана,1
999,сири что такое app,сири что такое ,0
1000,как мне открыть индивидуальный пенсионный план,как мне открыть индивидуальный пенсионный план,1
1001,добрый день подскажите пожалуйста как я могу открыть индивидуальный пенсионный план,добрый день подскажите пожалуйста как я могу открыть индивидуальный пенсионный план,1
1002,где можно оформить индивидуальный пенсионный план,где можно оформить индивидуальный пенсионный план,1
1003,сири как открыть индивидуальный пенсионный план,сири как открыть индивидуальный пенсионный план,1
1004,где можно открыть индивидуальный пенсионный план,где можно открыть индивидуальный пенсионный план,1
1005,со скольки лет можно открыть индивидуальный пенсионный план,со скольки лет можно открыть индивидуальный пенсионный план,1
1006,что вообще такое индивидуальный пенсионный план расскажи пожалуйста,что вообще такое индивидуальный пенсионный план расскажи пожалуйста,1
1007,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
1008,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
1009,для открытия индивидуального пенсионного плана что я должна сделать,для открытия индивидуального пенсионного плана что я должна сделать,1
1010,расскажи обо всех условиях индивидуального пенсионного плана,расскажи обо всех условиях индивидуального пенсионного плана,1
1011,как и где можно открыть иностранные,как и где можно открыть иностранные,0
1012,куда обратиться для открытия индивидуального пенсионного плана,куда обратиться для открытия индивидуального пенсионного плана,1
1013,сколько стоит открыть индивидуальный пенсионный план,сколько стоит открыть индивидуальный пенсионный план,1
1014,где можно заказать карточку альфа банка,где можно заказать карточку альфа банка,0
1015,я хотел бы открыть индивидуальный пенсионный план,я хотел бы открыть индивидуальный пенсионный план,1
1016,здравствуйте объясните пожалуйста в чем суть индивидуального пенсионного плана,здравствуйте объясните пожалуйста в чем суть индивидуального пенсионного плана,1
1017,какие документы нужны для открытия индивидуального пенсионного плана,какие документы нужны для открытия индивидуального пенсионного плана,1
1018,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
1019,найди пожалуйста информацию по открытию индивидуального пенсионного плана,найди пожалуйста информацию по открытию индивидуального пенсионного плана,1
1020,как научиться зарабатывать подростку,как научиться зарабатывать подростку,0
1021,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
1022,здравствуйте можете пожалуйста подсказать как открыть индивидуальный пенсионный план,здравствуйте можете пожалуйста подсказать как открыть индивидуальный пенсионный план,1
1023,какие документы нужны чтобы открыть индивидуальный пенсионный план,какие документы нужны чтобы открыть индивидуальный пенсионный план,1
1024,в каком городе открыть индивидуальный пенсионный план,в каком городе открыть индивидуальный пенсионный план,1
1025,как правильно открыть индивидуальный пенсионный план,как правильно открыть индивидуальный пенсионный план,1
1026,что необходимо для открытия индивидуального пенсионного плана,что необходимо для открытия индивидуального пенсионного плана,1
1027,как открыть визу карту подростку,как открыть визу карту подростку,0
1028,ассистент какие условия для открытия индивидуального пенсионного плана,ассистент какие условия для открытия индивидуального пенсионного плана,1
1029,какие документы нужны для открытия индивидуального пенсионного плана,какие документы нужны для открытия индивидуального пенсионного плана,1
1030,подскажи где я могу открыть в каком офисе инвестиционный пенсионный план,подскажи где я могу открыть в каком офисе инвестиционный пенсионный план,1
1031,что нужно для того чтобы открыть,что нужно для того чтобы открыть,0
1032,добрый день подскажите пожалуйста какие документы нужны для открытия индивидуального пенсионного плана,добрый день подскажите пожалуйста какие документы нужны для открытия индивидуального пенсионного плана,1
1033,по какому телефону можно позвонить чтобы уточнить всю информацию по индивидуальному пенсионному плану,по какому телефону можно позвонить чтобы уточнить всю информацию по индивидуальному пенсионному плану,1
1034,какие документы мне нужны чтобы открыть индивидуальный пенсионный план,какие документы мне нужны чтобы открыть индивидуальный пенсионный план,1
1035,как мне открыть индивидуальный пенсионный план,как мне открыть индивидуальный пенсионный план,1
1036,где открыть индивидуальный пенсионный план,где открыть индивидуальный пенсионный план,1
1037,пожалуйста подскажите как мне открыть индивидуальный пенсионный план,пожалуйста подскажите как мне открыть индивидуальный пенсионный план,1
1038,где как оформить индивидуальный пенсионный план,где как оформить индивидуальный пенсионный план,1
1039,подскажи где я могу узнать как мне открыть индивидуальный пенсионный план,подскажи где я могу узнать как мне открыть индивидуальный пенсионный план,1
1040,как открыть индивидуальный пенсионный план ипп,как открыть индивидуальный пенсионный план индивидуальныйпенсионный план,1
1041,, ,0
1042,ассистент я бы хотел возразить индивидуальную пенсионную планку подскажи как это сделать,ассистент я бы хотел возразить индивидуальную пенсионную планку подскажи как это сделать,0
1043,как можно открыть индивидуальный пенсионный план,как можно открыть индивидуальный пенсионный план,1
1044,что необходимо для открытия индивидуального пенсионного плана,что необходимо для открытия индивидуального пенсионного плана,1
1045,привет как открыть инвестиционный пенсионный план,привет как открыть инвестиционный пенсионный план,1
1046,как открыть индивидуальный пенсионный план не выходя из дома,как открыть индивидуальный пенсионный план не выходя из дома,1
1047,что нужно сделать чтобы открыть индивидуальный пенсионный план,что нужно сделать чтобы открыть индивидуальный пенсионный план,1
1048,что я могу сделать чтобы открыть инвестиционный пенсионный ван,что я могу сделать чтобы открыть инвестиционный пенсионный ван,0
1049,я хотел бы узнать всю информацию об открытии индивидуального пенсионного плана,я хотел бы узнать всю информацию об открытии индивидуального пенсионного плана,1
1050,я хотел бы узнать у вас как мне открыть интервальный пенсионный план,я хотел бы узнать у вас как мне открыть интервальный пенсионный план,1
1051,что такое индивидуальный пенсионный план,что такое индивидуальный пенсионный план,1
1052,какие документы нужны для открытия индивидуального пенсионного плана,какие документы нужны для открытия индивидуального пенсионного плана,1
1053,ассистент мне нужно через некоторое время открыть индивидуального persephone полно подскажи как это сделать и где,ассистент мне нужно через некоторое время открыть индивидуального полно подскажи как это сделать и где,0
1054,здравствуйте хотела бы открыть ипп можете пожалуйста дать мне информацию по поводу этого,здравствуйте хотела бы открыть индивидуальныйпенсионный план можете пожалуйста дать мне информацию по поводу этого,1
1055,здравствуйте я хотела бы открыть индивидуальный пенсионный план можете пожалуйста рассказать мне плюсы и как его открыть,здравствуйте я хотела бы открыть индивидуальный пенсионный план можете пожалуйста рассказать мне плюсы и как его открыть,1
